id,score,mae_cursor_position,down_time_max,down_time_mean,down_time_std,action_time_mean,action_time_std,word_count_max,word_count_mean,word_count_std,activity_input,activity_movefrom,activity_nonproduction,activity_paste,activity_removecut,activity_replace,down_event_alphanumeric,down_event_control_keys,down_event_special_character,down_event_unknown,text_change_many_q,text_change_nochange,text_change_not_q,text_change_single_q,text_change_replacements
001519c8,3.5,527.0469299960891,1801877,848180.7719984357,395112.66596083215,116.24677356276887,91.7973743446592,256,128.11615174032067,76.49837239600791,0.7860774344935472,0.0011732499022291747,0.046929996089166995,0.0,0.1630817364098553,0.002737583105201408,0.6331638639030114,0.3523660539694955,0.014470082127493155,0.0,0.0007821666014861165,0.046929996089166995,0.19084865076261243,0.758701603441533,0.0027375831052014075
0022f953,3.5,380.7746536267319,1788842,518855.347595762,384959.4041770636,112.22127139364304,55.43118918498115,323,182.71475142624286,97.76309027760496,0.7897310513447433,0.0,0.10350448247758762,0.00040749796251018743,0.10594947025264874,0.00040749796251018743,0.6071719641401793,0.3712306438467808,0.021597392013039934,0.0,0.0,0.10350448247758762,0.2041564792176039,0.6919315403422983,0.00040749796251018743
0042269b,6.0,1238.7553191489362,1771219,828491.7751450677,489500.7965653484,101.8377659574468,82.38376611454355,404,194.77272727272728,108.93506753663294,0.8498549323017408,0.0,0.04231141199226306,0.0,0.1061411992263056,0.0016924564796905223,0.7021276595744681,0.28602514506769827,0.011847195357833656,0.0,0.0007253384912959381,0.04231141199226306,0.16779497098646035,0.7874758220502901,0.0016924564796905223
0059420b,2.0,152.39331619537276,1404394,785483.0263496144,385205.01439878665,121.84832904884318,113.76822550901367,206,103.61889460154242,61.882249996500704,0.8380462724935732,0.0,0.06362467866323908,0.0006426735218508997,0.09704370179948586,0.0006426735218508997,0.6709511568123393,0.31555269922879176,0.013496143958868894,0.0,0.0006426735218508997,0.06362467866323908,0.198586118251928,0.7365038560411311,0.0006426735218508997
0075873a,4.0,640.1615962070327,1662390,713354.1975503754,405576.4090338523,123.94389569340181,62.082012674388594,252,125.0829711576452,77.2550536256005,0.7672856578427499,0.0,0.028447254049782694,0.0,0.2042670881074674,0.0,0.608850256815488,0.3646779928881865,0.026471750296325564,0.0,0.0,0.028447254049782694,0.19557487159225603,0.7759778743579613,0.0
0081af50,2.0,423.87064676616916,1778845,544339.1913161465,484650.5779748612,81.40434192672998,40.65305428584797,275,132.94255992763456,81.20882445728046,0.8113975576662144,0.0,0.034373586612392586,0.0,0.15287200361827227,0.0013568521031207597,0.6562641338760742,0.33649932157394846,0.007236544549977386,0.0,0.0004522840343735866,0.034373586612392586,0.18046132971506107,0.783355947535052,0.0013568521031207597
0093f095,4.5,176.2169971671388,1768065,354314.4577903683,242048.21674987816,109.71784702549576,37.01833130362483,242,119.671388101983,72.38823351966136,0.8968838526912182,0.0,0.019263456090651557,0.0,0.08385269121813031,0.0,0.7342776203966006,0.2509915014164306,0.014730878186968839,0.0,0.0,0.019263456090651557,0.17393767705382437,0.806798866855524,0.0
009e23ab,4.0,321.4543136421589,1799221,487666.2923926902,279593.81068045687,90.75563110922226,41.934951692134895,308,154.29706757331067,93.48678321080847,0.8393540161495963,0.0,0.06587335316617085,0.0,0.09434764130896728,0.00042498937526561835,0.6629834254143646,0.319592010199745,0.017424564385890354,0.0,0.0,0.06587335316617085,0.20526986825329366,0.7284317892052699,0.00042498937526561835
00e048f1,3.5,108.15520504731862,1797305,837617.3495268138,345748.10795061797,75.01135646687698,33.244614848179324,223,114.76277602523659,66.91791105953358,0.8996845425867508,0.0,0.025867507886435333,0.0,0.07444794952681388,0.0,0.7242902208201892,0.2580441640378549,0.017665615141955835,0.0,0.0,0.025867507886435333,0.19179810725552052,0.7823343848580442,0.0
00e1f05a,4.5,2031.209685663174,1853533,884357.5039611551,493354.2178517588,93.34321492461028,198.89668971322038,739,364.3521594684385,207.108616978256,0.7852031689240991,0.0,0.029133657040633785,0.0,0.18476871965244057,0.0008944543828264759,0.6323792486583184,0.3527983644262714,0.014822386915410171,0.0,0.0011500127779197546,0.029133657040633785,0.19026322514694607,0.778558650651674,0.0008944543828264759
00e713bd,4.5,666.0633077765608,1749055,777464.0354874042,364718.7523664369,94.30690032858708,47.01093312857729,574,274.4635268346112,167.90792099736896,0.8644030668127054,0.0,0.019058050383351587,0.0,0.11610076670317634,0.0004381161007667032,0.7036144578313253,0.28258488499452356,0.01380065717415115,0.0,0.0,0.019058050383351587,0.18181818181818182,0.7986856516976999,0.0004381161007667032
00f0737e,2.5,220.73634105960264,1833682,603517.3120860927,401106.7763018859,131.15728476821192,81.29178646901703,252,119.69205298013244,79.70792149098439,0.7367549668874173,0.0,0.16473509933774835,0.0,0.09809602649006623,0.0004139072847682119,0.5985099337748344,0.38658940397350994,0.014900662251655629,0.0,0.0,0.16473509933774835,0.15438741721854304,0.6804635761589404,0.0004139072847682119
00f8e84c,4.5,75.85514646600376,1773898,950845.8938457404,462051.83690209454,82.43052942757323,43.591845604279875,573,281.27438860521363,168.11624310586603,0.8551464660037624,0.0,0.12819134641225477,0.0,0.0166621875839828,0.0,0.6796560064498791,0.3044880408492341,0.01585595270088686,0.0,0.0,0.12819134641225477,0.18005912389142703,0.6917495296963182,0.0
00fc9a6a,3.5,714.007034431692,1585609,688396.695668271,362391.2967538805,111.76823398741207,554.5884169278571,244,128.46242132543503,74.53243747166972,0.7512032580525732,0.0,0.050351721584598295,0.0007404664938911515,0.19770455386893743,0.0,0.5923731951129212,0.3720844131803036,0.03554239170677527,0.0,0.0022213994816734544,0.050351721584598295,0.2054794520547945,0.7419474268789338,0.0
0144e4d5,2.5,158.606518658479,1830779,919170.0991969769,472893.41871461837,87.00377893245158,45.20893508809821,234,124.25460557392536,71.3554157251296,0.7982994803967879,0.0,0.1506849315068493,0.0,0.05101558809636278,0.0,0.5266887104393009,0.4440245630609353,0.029286726499763816,0.0,0.0,0.1506849315068493,0.2975909305621162,0.5517241379310345,0.0
014e7ae9,5.0,854.5662158713958,1833750,701810.147996938,490102.9205240304,124.05154376116356,114.53901835139219,449,226.74763970400613,129.95064777243155,0.8392447052819597,0.0,0.022965042102577188,0.00025516713447307985,0.13498341413625925,0.0025516713447307987,0.6749170706812962,0.3054350599642766,0.01964786935442715,0.0,0.0007655014034192396,0.022965042102577188,0.19443735646848687,0.779280428680786,0.0025516713447307987
015aa732,5.0,322.05960264900665,1754492,585604.3462630085,271637.6427166993,96.49858088930937,87.36138862197788,421,221.80069378744875,133.0756385075318,0.8981393882056133,0.0,0.01860611794386629,0.0,0.08136234626300852,0.001892147587511826,0.7171239356669821,0.2630085146641438,0.019867549668874173,0.0,0.001576789656259855,0.01860611794386629,0.19741406496373384,0.7805108798486282,0.001892147587511826
